1940, "2016/1/1 16:45:10", 23.74
1950, "2016/1/255 255:255:255", nan
1960, "2016/1/1 17:7:56", 23.74
1970, "2016/1/1 17:19:19", 23.74
1980, "2016/1/1 17:59:195", 23.78
1990, "2016/1/1 17:42:5", 23.76
2000, "2016/1/1 17:53:28", 23.85
2010, "2016/1/1 18:4:51", nan
2020, "2016/1/1 18:16:14", 23.85
2030, "2016/1/1 18:27:37", 23.85
2040, "2016/1/1 18:39:0", 23.85
2050, "2016/1/1 18:50:23", 23.85
2060, "2016/1/1 19:1:46", 24.27
2070, "2016/1/1 19:13:9", 23.95
2080, "2016/1/1 19:24:32", 23.95
2090, "2016/1/1 19:35:55", 23.95
2100, "2016/1/1 19:47:18", 23.91
2110, "2016/1/32 50:59:195", 23.78
2120, "2016/1/1 20:10:4", 23.85
2130, "2016/1/1 20:21:27", 23.85
2140, "2016/1/1 20:255:255", nan
2150, "2016/1/1 20:44:13", 23.85
2160, "2016/1/1 20:55:36", 23.85
2170, "2016/1/1 21:6:59", 23.78
2180, "2016/1/1 21:18:22", 23.85
2190, "2016/1/1 21:29:45", 23.85
2200, "2016/1/1 21:41:8", nan
2210, "2016/1/1 21:52:31", 23.74
2220, "2016/1/1 22:3:54", 23.74
2230, "2016/1/1 22:15:16", 23.74
2240, "2001/23/0 48:64:231", 23.66
2250, "2016/1/1 22:38:2", 23.74
2260, "2016/1/1 22:49:25", 23.74
2270, "2016/1/255 255:255:255", nan
2280, "2016/1/1 23:12:11", 23.72
2290, "2016/1/1 23:23:34", 23.63
2300, "2016/1/1 23:70:11", 23.66
2310, "2016/1/1 23:46:20", 23.63
2320, "2016/1/1 23:57:43", 23.63
2330, "2016/1/2 0:9:6", nan
2340, "2016/1/2 0:20:28", 23.63
2350, "2016/1/2 0:31:51", 23.63
2360, "2016/1/2 0:43:14", 23.52
2370, "2016/1/2 0:54:37", 23.52
2380, "2016/1/2 1:6:0", 23.42
2390, "2016/1/2 1:17:23", 23.42
2400, "2016/1/2 1:28:46", 23.42
2410, "2016/1/2 1:40:8", 23.31
2420, "2016/1/2 1:51:31", 23.31
2430, "2016/1/37 2:92:155", 23.28
2440, "2016/1/2 2:14:17", 23.20
2450, "2016/1/2 2:25:39", 23.20
2460, "2016/1/2 2:255:255", nan
2470, "2016/1/2 2:48:25", 23.20
2480, "2016/1/2 2:59:48", 23.09
2490, "2016/1/2 3:11:10", 23.03
2500, "2016/1/2 3:22:33", 23.09
2510, "2016/1/2 3:33:56", 23.09
2520, "2016/1/2 3:45:18", nan
2530, "2016/1/2 3:56:41", 23.20
2540, "2016/1/2 4:8:4", 23.09
2550, "2016/1/2 4:19:27", 23.09
2560, "2002/5/4 58:92:155", 23.16
2570, "2016/1/2 4:42:12", 23.20
2580, "2016/1/2 4:53:35", 23.20
2590, "2016/1/255 255:255:255", nan
2600, "2016/1/2 5:16:20", 23.31
2610, "2016/1/2 5:27:43", 23.31
2620, "2016/1/2 5:81:83", 23.41
2630, "2016/1/2 5:50:29", 23.42
2640, "2016/1/2 6:1:52", 23.42
2650, "2016/1/2 6:13:14", nan
2660, "2016/1/2 6:24:37", 23.42
2670, "2016/1/2 6:36:1", 25.35
2680, "2016/1/2 6:47:24", 25.99
2690, "2016/1/2 6:58:48", 26.10
2700, "2016/1/2 7:10:12", 26.21
2710, "2016/1/2 7:21:36", 26.42
2720, "2016/1/2 7:33:0", 26.53
2730, "2016/1/2 7:44:24", 25.03
2740, "2016/1/2 7:55:47", 24.27
2750, "2016/1/41 19:70:11", 23.91
2760, "2016/1/2 8:18:33", 23.52
2770, "2016/1/2 8:29:56", 23.52
2780, "2016/1/2 8:255:255", nan
2790, "2016/1/2 8:52:41", 23.63
2800, "2016/1/2 9:4:4", 23.63
2810, "2016/1/2 9:15:27", 23.66
2820, "2016/1/2 9:26:50", 23.63
2830, "2016/1/2 9:38:13", 23.63
2840, "2016/1/2 9:49:36", nan
2850, "2016/1/2 10:0:59", 23.63
2860, "2016/1/2 10:12:22", 23.52
2870, "2016/1/2 10:23:45", 23.63
2880, "2002/11/9 16:70:11", 23.66
2890, "2016/1/2 10:46:30", 23.60
2900, "2016/1/2 10:57:53", 23.63
2910, "2016/1/255 255:255:255", nan
2920, "2016/1/2 11:20:39", 23.63
2930, "2016/1/2 11:32:2", 23.63
2940, "2016/1/2 11:70:11", 23.66
2950, "2016/1/2 11:54:48", 23.74
2960, "2016/1/2 12:6:11", 23.63
2970, "2016/1/2 12:17:34", nan
2980, "2016/1/2 12:28:57", 23.73
2990, "2016/1/2 12:40:19", 23.74
3000, "2016/1/2 12:51:42", 23.74
3010, "2016/1/2 13:3:5", 23.74
